en_name,en_time,en_len,zh_name,zh_time,need_update
Medium electric pole,2021-03-15 02:32:35,1366,Medium electric pole/zh,2018-06-20 06:32:32,True
Military (research),2017-09-04 13:12:05,232,Military (research)/zh,2018-07-12 08:51:13,False
Military 2 (research),2019-06-16 13:47:35,251,Military 2 (research)/zh,2022-01-22 05:53:25,False
Military 3 (research),2017-07-19 16:34:05,111,Military 3 (research)/zh,2018-07-12 08:53:23,False
Military 4 (research),2018-07-31 17:37:05,109,Military 4 (research)/zh,2022-01-22 03:28:47,False
Military science pack,2020-09-17 23:21:29,2144,Military science pack/zh,2018-07-13 14:26:45,True
Military science pack (research),2019-06-16 14:57:39,298,Military science pack (research)/zh,2020-12-04 15:59:13,False
Mining,2020-11-25 14:47:40,3513,Mining/zh,2020-11-25 14:48:51,False
Mining drill,2018-09-01 12:24:02,151,Mining drill/zh,2022-01-22 03:54:18,False
Mining productivity (research),2021-08-17 09:13:29,2143,Mining productivity (research)/zh,2019-02-28 12:26:33,True
Modding,2021-11-08 21:06:07,5317,Modding/zh,2019-03-10 03:24:35,True
Modular armor,2021-10-29 16:56:16,958,Modular armor/zh,2018-07-26 03:00:05,True
Modular armor (research),2017-07-19 16:35:07,126,Modular armor (research)/zh,2018-07-12 09:45:02,False
Module,2021-08-05 08:41:03,9131,Module/zh,2018-07-10 08:26:24,True
Modules (research),2017-07-19 16:36:48,175,Modules (research)/zh,2018-07-12 12:54:48,False
Multiplayer,2021-02-23 15:27:17,25128,Multiplayer/zh,2018-07-17 08:48:18,True
Nightvision,2019-10-07 20:35:53,1412,Nightvision/zh,2018-11-15 13:15:09,True
Nightvision equipment (research),2017-07-19 16:37:00,143,Nightvision equipment (research)/zh,2018-07-12 12:49:35,False
Nuclear fuel,2021-11-17 15:08:24,1370,Nuclear fuel/zh,2018-07-18 04:00:33,True
Nuclear fuel reprocessing,2019-06-18 10:08:28,303,Nuclear fuel reprocessing/zh,2022-01-22 06:31:37,False
Nuclear fuel reprocessing (research),2020-05-01 12:41:09,267,Nuclear fuel reprocessing (research)/zh,2022-01-22 06:04:48,False
Nuclear power (research),2017-08-23 19:12:49,338,Nuclear power (research)/zh,2018-07-12 07:41:22,False
Nuclear reactor,2021-04-22 03:05:48,4569,Nuclear reactor/zh,2018-07-17 03:56:51,True
Offshore pump,2020-03-05 09:14:39,1802,Offshore pump/zh,2017-09-10 09:38:46,True
Oil,2017-09-02 16:51:57,134,Oil/zh,2018-07-04 10:07:10,False
Oil processing,2021-05-13 18:06:39,12688,Oil processing/zh,2021-09-11 06:52:45,False
Oil processing (research),2017-08-08 19:40:05,191,Oil processing (research)/zh,2018-07-12 07:44:00,False
Oil refinery,2021-05-30 11:26:11,2388,Oil refinery/zh,2018-03-06 13:04:56,True
Optics (research),2018-06-07 09:29:14,246,Optics (research)/zh,2018-07-12 12:16:33,False
Passive provider chest,2021-03-24 17:36:16,1459,Passive provider chest/zh,2018-06-28 07:13:49,True
Personal battery,2020-08-18 00:30:24,904,Personal battery/zh,2021-04-09 11:29:15,False
Personal battery (research),2019-02-26 17:27:06,137,Personal battery (research)/zh,2019-02-26 17:27:12,False
Personal battery MK2,2020-09-10 08:15:05,1015,Personal battery MK2/zh,2021-04-09 11:29:14,False
Personal battery MK2 (research),2019-02-26 17:28:19,121,Personal battery MK2 (research)/zh,2019-02-26 17:28:54,False
Personal laser defense,2021-03-11 17:18:21,1080,Personal laser defense/zh,2018-07-26 03:45:27,True
Personal laser defense (research),2017-07-19 16:40:36,143,Personal laser defense (research)/zh,2018-07-12 12:50:24,False
Personal roboport,2020-09-17 03:04:08,2343,Personal roboport/zh,2018-11-14 17:52:28,True
Personal roboport (research),2017-09-04 13:45:36,116,Personal roboport (research)/zh,2018-07-12 12:51:08,False
Personal roboport MK2,2020-09-17 03:04:47,2140,Personal roboport MK2/zh,2018-11-16 08:27:35,True
Personal roboport MK2 (research),2020-09-11 22:08:16,455,Personal roboport MK2 (research)/zh,2019-05-02 19:45:17,True
Petroleum gas,2021-04-09 09:29:50,1411,Petroleum gas/zh,2020-05-27 10:50:18,True
Physical projectile damage (research),2020-10-19 17:14:41,2995,Physical projectile damage (research)/zh,2019-12-24 04:57:07,True
Piercing rounds magazine,2021-10-29 16:56:03,410,Piercing rounds magazine/zh,2017-09-04 19:55:36,True
Piercing shotgun shells,2021-10-29 16:56:12,312,Piercing shotgun shells/zh,2018-07-18 08:15:46,True
Pipe,2020-09-14 08:25:19,2246,Pipe/zh,2018-06-20 08:13:11,True
Pipe to ground,2020-09-24 08:44:50,2040,Pipe to ground/zh,2018-06-20 08:31:06,True
Pistol,2020-05-06 22:18:38,415,Pistol/zh,2017-08-14 17:43:04,True
Plastic bar,2021-10-06 10:16:19,465,Plastic bar/zh,2017-09-09 16:10:33,True
Plastics (research),2018-08-10 07:35:48,294,Plastics (research)/zh,2022-01-22 06:22:28,False
Player,2021-12-13 19:35:13,8147,Player/zh,2020-11-26 17:28:39,True
Poison capsule,2020-08-13 09:48:49,1708,Poison capsule/zh,2018-07-19 08:23:48,True
Pollution,2022-01-17 14:43:23,9014,Pollution/zh,2019-04-27 17:42:54,True
Portable fusion reactor,2020-10-12 03:01:49,1357,Portable fusion reactor/zh,2018-07-26 03:30:58,True
Portable fusion reactor (research),2017-07-19 16:44:40,144,Portable fusion reactor (research)/zh,2018-07-12 12:52:30,False
Portable solar panel,2020-08-15 02:51:35,1333,Portable solar panel/zh,2018-07-26 03:21:50,True
Portable solar panel (research),2017-07-19 16:46:20,141,Portable solar panel (research)/zh,2018-07-12 12:53:32,False
Power armor,2021-10-29 16:56:17,764,Power armor/zh,2018-07-26 02:45:06,True
Power armor (research),2017-07-19 16:47:38,132,Power armor (research)/zh,2018-07-12 09:46:24,False
